date,num1,num2,num3,num4,num5,num6
2020-10-08,26,31,34,40,52,1
2020-10-07,8,18,30,44,49,4
2020-10-06,2,9,34,43,52,4
2020-10-05,1,3,35,37,42,4
2020-10-04,14,33,36,50,51,3
2020-10-03,5,8,42,45,47,1
2020-10-02,2,26,29,35,53,3
2020-10-01,7,23,37,49,52,3
2020-09-30,1,16,39,41,58,4
2020-09-29,6,10,37,46,52,4
2020-09-28,4,14,16,31,47,4
2020-09-27,4,6,9,50,59,2
2020-09-26,12,15,27,45,46,1
2020-09-25,12,20,34,35,56,1
2020-09-24,18,20,43,45,60,2
2020-09-23,10,28,36,38,45,1
2020-09-22,1,8,17,20,56,1
2020-09-21,6,18,21,51,52,4
2020-09-20,9,12,29,44,57,4
2020-09-19,7,11,36,40,50,1
